MAVBLCKSCTN,MAVFROMSTTNCODE,MAVTOSTTNCODE,MAVSUBSCTNNAME,MANINTRDIST,MANNUMBLINES,MANNUMBSGNL,MANNUMBLVLCRSG,MAVSGNLTYPE,MAVGAUGE,MAVTRTNTYPE,MAVDVSNCODE,MADMDFYTIME,MAVMDFYBY,MACFREZFLAG,MACFLAG,MACSDNGBLCKSCTN,MACFREZRUNTIME,MADRUNTIMEMDFYTIME,MAVRUNTIMEMDFYBY,MANCOABLCKSCTN,MAVSCTNCODE,MANSTATUS,MANRBSDISTANCE,MANICMSINTRDIST,MAVTRAFFICTYPE,MADVALIDFROM,MADVALIDTO,MANMAXSPEED,MAVDRTN,MANSIGNALNUMB,MAVSIGNALPOSN
CPP-SGDM,CPP,SGDM,KTV-PSA,13.27,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,KTV-PSA,1,13.27,13.27,CG,8/15/2018,12/31/2099,110,DN,0,
TIU-KBM,TIU,KBM,KTV-PSA,13.72,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,KTV-PSA,1,13.72,13.72,CG,8/15/2018,12/31/2099,110,DN,0,
KBM-TIU,KBM,TIU,KTV-PSA,13.72,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,KTV-PSA,1,13.72,13.72,CG,8/15/2018,12/31/2099,110,UP,0,
NWP-KBM,NWP,KBM,KTV-PSA,13.92,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,KTV-PSA,1,13.92,13.92,CG,8/15/2018,12/31/2099,110,UP,0,
KBM-NWP,KBM,NWP,KTV-PSA,13.92,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,KTV-PSA,1,13.92,13.92,CG,8/15/2018,12/31/2099,110,DN,0,
PLH-NWP,PLH,NWP,NWP-GNPR,39.21,1,0,5,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,,1,0,0,C,8/15/2018,12/31/2099,110,DN,0,
NWP-PLH,NWP,PLH,NWP-GNPR,39.21,1,0,5,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,,1,0,0,C,8/15/2018,12/31/2099,50,UP,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSA-KTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
